"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","CATEGORY_1_A","CATEGORY_2_A","REFERENCE_A","COMMENT_A","CATEGORY_1_B","CATEGORY_2_B","REFERENCE_B","COMMENT_B","CATEGORY_1_C","REFERENCE_C","COMMENT_C","CATEGORY_1_D","REFERENCE_D","COMMENT_D","CATEGORY_1_E","REFERENCE_E","COMMENT_E","ESM_AJS_FINAL_DECISION","DECISION_FINAL","GENERAL_CAT"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Ptychoramphus aleuticus","Cassin's Auklet","Person",NA,NA,"named for John Cassin","Person",NA,NA,"John Cassin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia cristatella","Crested Auklet","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia pusilla","Least Auklet","Size",NA,NA,NA,"Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Cerorhinca monocerata","Rhinoceros Auklet","Both sexes physical trait",NA,NA,"named for ""horn"" on mandible","Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia pygmaea","Whiskered Auklet","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Charadriiformes","Recurvirostridae (Stilts and Avocets)","Recurvirostra americana","American Avocet","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Phaethontiformes","Phaethontidae (Tropicbirds)","Phaethon aethereus","Red-billed Tropicbird","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Botaurus lentiginosus","American Bittern","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ixobrychus exilis","Least Bittern","Size",NA,NA,NA,"Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Euphagus cyanocephalus","Brewer's Blackbird","Person",NA,NA,"Thomas Mayo Brewer, naturalist","Person",NA,NA,"Thomas Mayo Brewer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Passeriformes","Icteridae (Troupials and Allies)","Agelaius phoeniceus","Red-winged Blackbird","Male physical trait",NA,NA,"female only has very faint red wing patches","Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Euphagus carolinus","Rusty Blackbird","Male physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,"Named for fresh basic plumage; ""This blackbird is not distinctively marked except for brown, rust-colored edgings on its upperbody feathers in fall and winter."" ?","Both sexes physical trait","https://www.audubon.org/field-guide/bird/rusty-blackbird","Rusty could apply to fall plummage or behaviors (including song)","Male physical trait",NA,"named for male breeding plumage","Both sexes physical trait",NA,NA,"Both sexes physical trait","Both sexes physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Agelaius tricolor","Tricolored Blackbird","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,"Females have a yellow ""front""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Bucephala albeola","Bufflehead","Both sexes physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,"Male physical trait",NA,"could potentially be categorized as both sexes physical trait. 'buffalo head is most noticeable when male puffs out the feathers of the head'","Male physical trait","https://www.google.com/books/edition/Wildlife_of_Virginia_and_Maryland_and_Wa/W7UxSPd2XMAC?hl=en&gbpv=1&pg=PA166&printsec=frontcover","male head shape == ""buffalo-head""","Both sexes physical trait","https://en.wikipedia.org/wiki/Bufflehead","The genus name is derived from ancient Greek boukephalos, ""bullheaded"", from bous, ""bull"", and kephale, ""head"", a reference to the oddly bulbous head shape of the species. The female is borderline Buffled-headed.","Male physical trait","Male physical trait","physical trait"
"Passeriformes","Turdidae (Thrushes and Allies)","Sialia currucoides","Mountain Bluebird","Life History",NA,NA,NA,"Geographic Location","Life History",NA,NA,"Natural History",NA,NA,"Natural History",NA,NA,"Natural History",NA,NA,NA,"Natural History","natural history"
"Passeriformes","Turdidae (Thrushes and Allies)","Sialia mexicana","Western Bluebird","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Icteridae (Troupials and Allies)","Dolichonyx oryzivorus","Bobolink","Behavior",NA,NA,"Onomatopoeic for call: ""bob o'lincoln""","Behavior",NA,"https://en.wikipedia.org/wiki/Bobolink#cite_note-OED-3","""The English ""Bobolink"" is from Bob o' Lincoln, describing the call.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
"Suliformes","Sulidae (Boobies and Gannets)","Sula sula","Red-footed Booby","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta bernicla","Brant","Local language",NA,"https://en.wikipedia.org/wiki/Brant_(goose)","latinized old norse, burnt","Local language",NA,NA,"Old Norse for ""burnt (black) goose"", could be Both sexes physical, or Random?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local language","human"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina cyanea","Indigo Bunting","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Calamospiza melanocorys","Lark Bunting","Behavior",NA,NA,"complex vocalizations","Behavior",NA,"https://www.birdzilla.com/birds/lark-bunting/bent-life-history.html","From the Bent Life History. Flight song is described as being spectacular, but they don't go very high. ""They are far from deserving the name of skylarks.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina amoena","Lazuli Bunting","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina ciris","Painted Bunting","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina versicolor","Varied Bunting","Male physical trait",NA,NA,"presumably after the varied colors of the plumage, but I did not find a source saying so explicitly","Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Passeriformes","Aegithalidae (Long-tailed Tits)","Psaltriparus minimus","Bushtit","General Descriptor","Life History",NA,"""bushtit"" is from the generic name used for Aegithalidae in the rest of the world, but as the only member of the family in North America, it gets called just that here. refers to the family's preferred open woodland habitat","Life History",NA,NA,"not sure if this really can be classified","Natural History",NA,NA,"Size",NA,"""bush"" refers to common habitat, ""tit"" refers to small size","Natural History",NA,NA,"Natural History","Natural History","natural history"
"Falconiformes","Falconidae (Falcons and Caracaras)","Caracara lutosa","Guadalupe Caracara","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Icteriidae (Yellow-breasted Chat)","Icteria virens","Yellow-breasted Chat","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile carolinensis","Carolina Chickadee","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile rufescens","Chestnut-backed Chickadee","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile sclateri","Mexican Chickadee","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile gambeli","Mountain Chickadee","Life History",NA,NA,NA,"Life History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
"Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Antrostomus carolinensis","Chuck-will's-widow","Behavior",NA,NA,NA,"Behavior",NA,NA,"name refers to the sound of the song",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Fulica americana","American Coot","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)","Urile penicillatus","Brandt's Cormorant","Person",NA,NA,NA,"Person",NA,NA,"J. F. Brandt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)","Nannopterum auritum","Double-crested Cormorant","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,"The ‚Äúdouble crest‚Äù is a poor field mark; these feathers are variable and are fully developed for only a short time early in year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)","Urile perspicillatus","Pallas's Cormorant","Person",NA,NA,NA,"Person",NA,NA,"Pallas (Peter Simon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)","Urile pelagicus","Pelagic Cormorant","Behavior",NA,NA,NA,"Life History",NA,NA,NA,"Natural History","BOTW","Although it refers to being in a marine area, ironically it is not the correct natural history, as they are usually inland","Natural History",NA,NA,"Natural History",NA,NA,NA,"Natural History","natural history"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)","Urile urile","Red-faced Cormorant","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Molothrus aeneus","Bronzed Cowbird","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Crex crex","Corn Crake","Life History",NA,"https://www.merriam-webster.com/dictionary/corncrake","Etymology from ""corne"", early scots, etymology linked here says that means grain","Life History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Porzana porzana","Spotted Crake","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Gruiformes","Gruidae (Cranes)","Antigone canadensis","Sandhill Crane","Geographic Location",NA,NA,"Sandhill region of the Great Plains, where vast numbers congregate in migration","Geographic Location",NA,"https://www.inaturalist.org/guide_taxa/278332","Sandhills can refer to a region in Nebraska, but they are spread over a much bigger area. Sandhills also might be a way of describing their habitats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Gruiformes","Gruidae (Cranes)","Grus americana","Whooping Crane","Behavior",NA,NA,"refers to call","Behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
"Passeriformes","Certhiidae (Treecreepers)","Certhia americana","Brown Creeper","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Loxia leucoptera","White-winged Crossbill","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus brachyrhynchos","American Crow","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus ossifragus","Fish Crow","Behavior",NA,NA,NA,"Life History",NA,NA,NA,"Natural History",NA,NA,"Natural History",NA,"diet","Natural History",NA,NA,NA,"Natural History","natural history"
"Cuculiformes","Cuculidae (Cuckoos)","Coccyzus erythropthalmus","Black-billed Cuckoo","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Cuculiformes","Cuculidae (Cuckoos)","Coccyzus minor","Mangrove Cuckoo","Life History",NA,NA,NA,"Life History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
"Cuculiformes","Cuculidae (Cuckoos)","Coccyzus americanus","Yellow-billed Cuckoo","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Numenius tahitiensis","Bristle-thighed Curlew","Both sexes physical trait",NA,NA,"Named after the elongated, bare shafts of their thigh feathers, the function is unknown","Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Numenius borealis","Eskimo Curlew","Geographic Location",NA,NA,"for far northern location of type locality. name is a slur for Inuit people that should not be used, but due to the likely extinction of the species, little effort seems to be behind renaming","Geographic Location",NA,NA,"Likely extinct; named after people who live in its range, but pretty colonial term",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Numenius americanus","Long-billed Curlew","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Spiza americana","Dickcissel","Time limit",NA,"http://birdaz.com/blog/2015/03/03/what-kind-of-a-name-is-dickcissel/","Often said to be named after thie song, and I think the name DOES sound like its song, but this source suggests the name is random and made up.","Behavior",NA,"https://www.timesonline.com/story/lifestyle/around-town/2017/06/16/where-did-dickcissel-get-its/18594089007/","Song onomatopaeia.","Behavior",NA,NA,"Behavior","BotW","named for their song, ""generally composed of a series of dick phrases followed by one to several cissel phrases""","Behavior",NA,"Named after its song. Typical song has been variously described phonetically as: see, see, dick, dick, ciss, ciss, ciss; see, see, quick, quick, sell, sell, sell; and see see—dick! dick! chee chee chee (2).",NA,"Behavior","natural history"
"Passeriformes","Cinclidae (Dippers)","Cinclus mexicanus","American Dipper","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Columbiformes","Columbidae (Pigeons and Doves)","Columbina inca","Inca Dove","Random",NA,NA,"named for the Indigenous empire in Peru by a French naturalist with a shaky understanding of geography.","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,"Miscellaneous",NA,"named in reference to the Inca empire by someone with a very hazy grasp of where the Inca empire was actually located","Geographic Location",NA,NA,"Geographic Location","Geographic Location","natural history"
"Columbiformes","Columbidae (Pigeons and Doves)","Zenaida macroura","Mourning Dove","Behavior",NA,NA,"describes call","Behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
"Columbiformes","Columbidae (Pigeons and Doves)","Zenaida asiatica","White-winged Dove","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Columbiformes","Columbidae (Pigeons and Doves)","Zenaida aurita","Zenaida Dove","Person",NA,NA,"Z√©na√Øde Laetitia Julie Princesse Bonaparte, wife of ornithologist Charles Bonaparte","Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Alle alle","Dovekie","Local language",NA,"https://www.merriam-webster.com/dictionary/dovekie#:~:text=History%20and%20Etymology%20for%20dovekie,like%20bond%20between%20nesting%20pairs","the diminutive form of the Scots word for dove, allegedly because of the ""dove like"" bond between pairs","Time limit","Random",NA,"aka ""little auk"". Best information I could find is an etymology article saying its ""a diminuitive form of dove"". Latin for dove (columba) and Icelandic for auk (klumba) are very similar and apparently a lot of auks are called ""doves"" because of this, but not sure if it is because of confusion?","Miscellaneous","https://en.wiktionary.org/wiki/dovekie#English","Wiktionary suggests ""From dove +‎ -ock +‎ -ie, a double diminutive."", hard to tell if this is because of perceived similarity to a pigeon in shape, or if to classify as size on account of the diminutive. Didn't actually run out of time, so left as miscellaneous.","Local language","Merriam-Webster","derived from Scotts, ""from dove DOVE + -kie, double diminutive; allegedly so called from the dove-like bond between nesting pairs","Local language","https://www.merriam-webster.com/dictionary/dovekie","Scots, ""the black guillemot (Cepphus grylle),"" from dove DOVE entry 1 + -kie, double diminutive suffix (from -k, -ick, -ock -OCK + -ie -IE); allegedly so called from the dove-like bond between nesting pairs.","Local language","Local language","human"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Limnodromus scolopaceus","Long-billed Dowitcher","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,"See above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Histrionicus histrionicus","Harlequin Duck","General Descriptor",NA,NA,"This probably refers to male and not female, but not a specific trait. Harlequin is derived from the latin 'histrio' meaning actor and a harlequin is a colourfully dressed character.","Male physical trait",NA,NA,NA,"Miscellaneous","https://en.wikipedia.org/wiki/Harlequin_duck","""it takes its name from ...a colorfully dressed character is Commedia dell'arte""","Male physical trait",NA,"harlequin in the sense of bright particolored plumage","Male physical trait","https://en.wikipedia.org/wiki/Harlequin_duck","It takes its name from Harlequin (French Arlequin, Italian Arlecchino), a colourfully dressed character in Commedia dell'arte. The species name comes from the Latin word ""histrio"", meaning ""actor"".","Male physical trait","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Camptorhynchus labradorius","Labrador Duck","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Nomonyx dominicus","Masked Duck","Life History",NA,NA,NA,"Male physical trait",NA,NA,NA,"Both sexes physical trait","Although the mask pattern differs between sex, I would say that I can call both patterns as masks",NA,"Male physical trait",NA,NA,"Male physical trait",NA,NA,"Male physical trait","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aythya collaris","Ring-necked Duck","Both sexes physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,"Male physical trait","Wikipedia","usually only distinguishable in the hand","Male physical trait",NA,NA,"Male physical trait","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Oxyura jamaicensis","Ruddy Duck","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix sponsa","Wood Duck","Geographic Location",NA,NA,NA,"Life History",NA,NA,NA,"Natural History",NA,"requires wooded cover for nesting, (in tree cavities), has claws for perching in trees","Natural History","BOTW","references habitat","Natural History",NA,NA,NA,"Natural History","natural history"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris alpina","Dunlin","Local language",NA,"https://en.wikipedia.org/wiki/Dunlin","(dun-ling, ""brown-thing"")","Both sexes physical trait",NA,NA,"Interestingly named after winter plumage","Both sexes physical trait","https://en.wikipedia.org/wiki/Dunlin","Wikipedia entry cites Oxford English Dictionary ""The English name is a dialect form of ""dunling"", first recorded in 1531–1532. It derives from dun, ""dull brown"", with the suffix -ling, meaning a person or thing with the given quality.""","Both sexes physical trait","All About Birds","""dun"" for non-breeding plumage color","Local language","https://en.wikipedia.org/wiki/Dunlin","The English name is a dialect form of ""dunling"", first recorded in 1531–1532. It derives from dun, ""dull brown"", with the suffix -ling, meaning a person or thing with the given quality.[2]","Both sexes physical trait","Both sexes physical trait","physical trait"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Haliaeetus leucocephalus","Bald Eagle","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Aquila chrysaetos","Golden Eagle","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Harpia harpyja","Harpy Eagle","Random",NA,"Birds of the World","Named after mythological harpies","Random",NA,"Linnaeus 1758, via Wikipedia","Named after mythological harpies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous","human"
"Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Egretta rufescens","Reddish Egret","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Somateria spectabilis","King Eider","General Descriptor",NA,NA,"Male has a lot of ornamental plumage, female is cyrptic","Male physical trait",NA,"https://books.google.com/books?id=GsTpAgAAQBAJ&pg=PA134","Male frontal lobe/plumage reminiscent of crown/robes","Male physical trait",NA,NA,"Male physical trait","https://www.google.com/books/edition/The_Scientific_Nomenclature_of_Birds_in/GsTpAgAAQBAJ?hl=en&gbpv=1&pg=PA134&printsec=frontcover","supposedly the lobe on the beak looks like a crown","Miscellaneous",NA,NA,"Male physical trait","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Somateria fischeri","Spectacled Eider","Both sexes physical trait",NA,NA,"Spectacles more prominent in males","Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Falconiformes","Falconidae (Falcons and Caracaras)","Falco femoralis","Aplomado Falcon","Local language","Both sexes physical trait",NA,"Spanish ""aplomado"" = ""lead-colored""","Local language",NA,NA,"From the Spanish referring to the lead-colored plumage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local language","human"
"Falconiformes","Falconidae (Falcons and Caracaras)","Falco mexicanus","Prairie Falcon","Life History",NA,NA,NA,"Life History",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
"Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Haemorhous mexicanus","House Finch","General Descriptor",NA,NA,"house as in ""common""","Life History",NA,NA,NA,"Behavior",NA,NA,"Natural History",NA,"named for commonly being found around houses/ buildings","Natural History",NA,NA,"Natural History","Natural History","natural history"
"Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Haemorhous purpureus","Purple Finch","Male physical trait",NA,NA,NA,"Male physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male physical trait","physical trait"
"Phoenicopteriformes","Phoenicopteridae (Flamingos)","Phoenicopterus ruber","American Flamingo","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Piciformes","Picidae (Woodpeckers)","Colaptes chrysoides","Gilded Flicker","Both sexes physical trait",NA,NA,"for golden/ yellow rectrices","Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax virescens","Acadian Flycatcher","Geographic Location",NA,NA,NA,"Geographic Location",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus cinerascens","Ash-throated Flycatcher","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus savana","Fork-tailed Flycatcher","Both sexes physical trait",NA,NA,NA,"Both sexes physical trait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax hammondii","Hammond's Flycatcher","Person",NA,NA,"Named after Surgeon-Gen. Prof. William Alexander Hammond","Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax minimus","Least Flycatcher","Size",NA,NA,NA,"Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
